solved,problem-code,problem-name,category,points,ac-rate,users
0,skylab_vt25,Số kỳ lạ (b),Vận dụng linh hoạt,"1,00","8,6%",33
1,xqd,Xếp que diêm,Nâng cao,"1,00","24,5%",156
1,tdsthnh,Tổng dãy số theo nhóm,Nâng cao,"1,00","30,2%",94
1,snn6,Số nhỏ nhất chia hết cho 6,Vận dụng linh hoạt,"1,00","11,4%",24
1,ta_b,Tổng A đến B,Nâng cao,"1,00","29,0%",102
1,mmceasar2,Mật mã Ceasar 2,Nâng cao,"1,00","23,7%",47
1,socanbang_str22,Số cân bằng,Cơ bản,"1,00","38,5%",156
1,dayso7,Tổng số chẵn,Nâng cao,"1,00","14,1%",64
1,tongkptd,Tổng k số đầu,Cơ bản,"1,00","56,1%",140
1,chiabi,Chia bi,Cơ bản,"1,00","41,4%",159
1,ss4so,So sánh 4 số,Cơ bản,"1,00","61,9%",248
1,ss3so,So sánh 3 số,Cơ bản,"1,00","69,5%",237
1,csccung,Chữ số cuối cùng (bản dễ),Cơ bản,"1,00","41,2%",154
1,pttsnt,Phân tích thừa số nguyên tố,Cơ bản,"1,00","42,1%",70
1,chia7,Chia hết cho 7,Cơ bản,"1,00","39,5%",185
1,timm,Tìm M,Cơ bản,"1,00","30,8%",113
1,nso,N số giảm dần,Cơ bản,"1,00","43,3%",166
0,nsochan,N số chẵn,Cơ bản,"1,00","17,4%",134
1,nsole,N số lẻ,Cơ bản,"1,00","45,3%",179
1,chanle,Chẵn lẻ,Cơ bản,"1,00","60,9%",317
1,achiab,A chia B,Cơ bản,"1,00","59,8%",277
1,sochphuong,Số chính phương,Cơ bản,"1,00","34,8%",155
1,tachle_na_kh24,Tách lẻ,Cơ bản,"1,00","37,7%",227
1,3slt_na23,Ba số liên tiếp,Cơ bản,"1,00","28,0%",189
1,chaythi_ict24,Chạy thi,Cơ bản,"1,00","32,9%",169
1,xemgio_tb24,Xem giờ,Cơ bản,"1,00","34,0%",261
1,tangqua,Tặng quà,Cơ bản,"1,00","53,4%",316
1,tichlonnhat_na22,Tích lớn nhất,Cơ bản,"1,00","27,5%",165
1,chan_le,Cặp số chẵn lẻ,Cơ bản,"1,00","55,3%",177
1,halong,Thăm vịnh Hạ Long,Cơ bản,"1,00","66,1%",178
1,bongda,Giải bóng đá,Cơ bản,"1,00","42,1%",123
1,gtrch_hn_sk24,Gần tròn chục,Cơ bản,"1,00","48,3%",206
1,pheptinh_bg24,Điền phép tính,Cơ bản,"1,00","56,2%",217
1,chiakeo_bn_qb_hy24,Chia kẹo,Cơ bản,"1,00","26,0%",201
1,tiendien,Tiền điện,Cơ bản,"1,00","49,0%",167
1,cuoc4g,Cước 4G,Cơ bản,"1,00","24,0%",83
0,tiendien2,Tiền điện,Cơ bản,"1,00","31,6%",74
1,ks_sk24,Khảo sát,Cơ bản,"1,00","27,4%",156
0,chaythi_hd_bp24,Chạy thi,Cơ bản,"1,00","58,3%",184
1,cd,Nghe CD,Vận dụng linh hoạt,"1,00","24,9%",59
1,trsachmat,Trang sách bị mất,Vận dụng linh hoạt,"1,00","7,4%",36
1,trochoi,Trò chơi,Cơ bản,"1,00","50,0%",96
1,msachcu,Mua sách cũ,Cơ bản,"1,00","25,0%",42
1,chonso_bg23,Chọn số,Nâng cao,"1,00","20,8%",64
1,lambt,Làm bài tập,Nâng cao,"1,00","33,2%",73
1,congtru,Cộng trừ,Vận dụng linh hoạt,"1,00","5,9%",15
1,sbuoc,Đúng s bước hay không?,Vận dụng linh hoạt,"1,00","32,2%",63
1,sasd,Số âm số dương,Cơ bản,"1,00","46,1%",173
1,timso3_hn_sk24,Tìm số 3,Cơ bản,"1,00","39,0%",197
1,trongcay,Trồng cây,Cơ bản,"1,00","46,8%",118
1,dddien_str24,Đường dây điện,Vận dụng linh hoạt,"1,00","17,5%",28
1,xephv_qg21,Xếp hình vuông,Vận dụng linh hoạt,"1,00","26,9%",30
1,cscc_hn23,Chữ số cuối cùng,Vận dụng linh hoạt,"1,00","22,5%",72
1,hcndep,Hình chữ nhật đẹp,Vận dụng linh hoạt,"1,00","15,3%",15
1,ruttien,Rút tiền,Vận dụng linh hoạt,"1,00","71,1%",77
1,bcuuchuong,Bảng cửu chương,Cơ bản,"1,00","39,2%",110
1,caohon,Cao hơn,Cơ bản,"1,00","52,4%",101
1,tongnso,Tổng n số,Cơ bản,"1,00","66,8%",143
1,acongb,A cộng B,Cơ bản,"1,00","75,3%",362
1,bvn,Bài về nhà,Cơ bản,"1,00","84,4%",228
1,catgiay,Cắt giấy,Cơ bản,"1,00","65,1%",157
1,laybong,Lấy bóng,Cơ bản,"1,00","63,4%",182
1,strandau,Số trận đấu,Cơ bản,"1,00","74,2%",119
1,sonlp_ld23,Sơn hình lập phương,Cơ bản,"1,00","37,8%",91
1,ltrls,Số liền trước và liền sau,Cơ bản,"1,00","72,5%",213
1,hvuong,Chu vi và diện tích hình vuông,Cơ bản,"1,00","75,8%",207
1,thuongdu_gib23,Thương và dư,Cơ bản,"1,00","76,1%",212
1,tong3dv,Tổng hàng đơn vị,Cơ bản,"1,00","68,8%",163
1,schanmax,Số chẵn lớn nhất,Cơ bản,"1,00","42,2%",131
1,doitien,Đổi tiền,Cơ bản,"1,00","52,8%",125
1,doitgian,Đổi thời gian,Cơ bản,"1,00","61,6%",130
1,hgach_na21,Hàng gạch,Cơ bản,"1,00","37,1%",169
1,tsonen_na21,Tổng số nén,Nâng cao,"1,00","25,9%",37
1,snguon_na21,Số nguồn,Vận dụng linh hoạt,"1,00","47,7%",44
1,chlmin_na21,Chênh lệch nhỏ nhất,Nâng cao,"1,00","29,0%",30
1,cbban_sk21,Chuẩn bị bàn,Cơ bản,"1,00","60,0%",136
1,so1so_sk21,Số một số,Vận dụng linh hoạt,"1,00","41,1%",69
1,demdia_sk21,Đếm đĩa,Nâng cao,"1,00","17,5%",33
1,datsoi_sk21,Đặt sỏi,Vận dụng linh hoạt,"1,00","30,5%",56
1,csthun_sk21,Tìm chữ số thứ N,Nâng cao,"1,00","11,0%",22
1,tsole,Tổng số lẻ,Cơ bản,"1,00","43,1%",100
1,tsochan,Tổng số chẵn,Cơ bản,"1,00","37,6%",82
1,timn_d,Tìm n (bản dễ),Cơ bản,"1,00","37,5%",69
0,beotam,Bèo tấm,Cơ bản,"1,00","63,6%",108
1,giaithua,Giai thừa,Cơ bản,"1,00","79,6%",101
1,hatgao,Hạt gạo và bàn cờ,Cơ bản,"1,00","53,0%",92
1,bdso,Biến đổi số (Dãy Collatz),Cơ bản,"1,00","60,2%",99
1,bdso_ntl24,Biến đổi,Vận dụng linh hoạt,"1,00","31,6%",38
1,comay,Cỗ máy,Vận dụng linh hoạt,"1,00","37,5%",21
1,stunhien,N số tăng dần,Cơ bản,"1,00","74,0%",116
1,svuong_kv21,Diện tích hình vuông,Vận dụng linh hoạt,"1,00","34,3%",30
1,dayso_kv21,Dãy số,Vận dụng linh hoạt,"1,00","25,6%",44
1,demuoc,Đếm ước số,Cơ bản,"1,00","65,1%",91
1,sohh,Số hoàn hảo,Cơ bản,"1,00","60,9%",94
1,soae,Cặp số anh em,Cơ bản,"1,00","39,0%",57
1,sthanthiet,Cặp số thân thiết,Cơ bản,"1,00","27,1%",32
1,nhbng,Nhà hàng bánh ngọt,Cơ bản,"1,00","35,2%",47
1,gcd_lcm,ƯCLN-BCNN,Cơ bản,"1,00","54,7%",100
1,chiato,Chia tổ,Cơ bản,"1,00","22,7%",40
1,tongps,Tổng 2 phân số,Cơ bản,"1,00","24,4%",23
1,psmin_sk22,Phân số nhỏ nhất,Cơ bản,"1,00","37,5%",53
1,uocle,Ước số lẻ,Cơ bản,"1,00","55,9%",68
1,timcs,Tìm chữ số,Cơ bản,"1,00","52,9%",66
1,tt_hc24,Tính tổng,Vận dụng linh hoạt,"1,00","42,2%",26
1,ghepso_kv21,Ghép số,Vận dụng linh hoạt,"1,00","27,9%",25
1,tqc_qg24,Tìm quả cân,Vận dụng linh hoạt,"1,00","24,8%",47
1,cs0tc_mbn23,Chữ số 0 tận cùng,Vận dụng linh hoạt,"1,00","30,7%",46
1,demso_qg21,Đếm số,Vận dụng linh hoạt,"1,00","21,6%",29
0,timso_qg21,Tìm số,Vận dụng linh hoạt,"1,00","11,5%",18
1,bongden_str22,Bóng đèn,Cơ bản,"1,00","85,1%",114
1,btmin_str22,Biểu thức nhỏ nhất,Cơ bản,"1,00","69,0%",74
1,kothichso3_str22,Không thích số 3,Nâng cao,"1,00","18,6%",23
1,ttong_hn22,Tính tổng,Cơ bản,"1,00","73,7%",172
